system:index,AOI,Area_2016,Area_2019,Area_2022,Area_2025,NDVI_2016,NDVI_2019,NDVI_2022,NDVI_2025,.geo
12,AOI_013,0.6363168724060059,1.1023535942077636,1.3532961479187011,1.6842306349361642,0.3369634504049597,0.4220886127493246,0.45889393699090214,0.44555623622861135,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,AOI_014,0.8783779510498047,1.093490687561035,1.1920839477539062,1.174157943725586,0.36239030425037655,0.4863062598666207,0.5193145466702325,0.5103355759882745,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,AOI_015,0.22618674545288087,3.266595030664182,3.4276171764837526,3.7008331913697488,0.22335739254951478,0.25721134695898895,0.2571039163603461,0.26002852728364817,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,AOI_016,1.4296838249206543,1.9364080589294435,1.900213739013672,1.873067791748047,0.30372246864098534,0.38822450781258466,0.35705047590391975,0.35801402238256114,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,AOI_017,5.40509810256958,9.32286167678833,11.444932512664796,12.487842150878906,0.3105177025766981,0.3859052942478703,0.37891148387346707,0.3950986595758079,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,AOI_018,19.314115605163575,34.790799070739745,42.248071159362794,46.14896492462158,0.3029884412051815,0.42901212032957214,0.43736666947481634,0.4586192271565088,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,AOI_019,0.06348660354614258,0.0906951644897461,0.0906951644897461,0.0906951644897461,0.26831729071480886,0.31062292605638503,0.29607330113649366,0.3082404941320419,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,AOI_020,19.14763341293335,23.02437378616333,24.358991216278078,25.493871393585206,0.3674253510702499,0.5378122446288822,0.5466475234663046,0.5501608898136181,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,AOI_021,1.7171301513671875,3.343393539428711,3.5250992370605467,3.80674154586792,0.26903386169640475,0.3724942441786761,0.39035362227983084,0.3910400531741486,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,AOI_022,3.5698218307495115,5.048882399749756,6.133015606061149,9.184737517547607,0.30148665542187897,0.43347378614043675,0.47391377632527976,0.46364809304594284,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,AOI_023,1.4848469718933106,3.537878391265869,4.472709541320801,5.0684329040527345,0.24401799157077883,0.34829016427456405,0.3602166508675599,0.3679877842960047,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,AOI_024,7.986311002349853,17.007982744257312,18.82369839324951,22.873334867463956,0.2806561998124785,0.4107880319750851,0.4373014256307339,0.4398537153340481,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,AOI_025,3.081864261627197,4.787843807220459,5.264759581756592,7.21829334487915,0.26639885348933084,0.44574512378580267,0.45120413510537727,0.4009954293165001,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,AOI_026,0.27523283767700196,0.8532203643798828,1.2110219566345215,1.238545524597168,0.25862150092919667,0.36704485182480145,0.41591143687114573,0.48906697697109647,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,AOI_027,1.9920463401794433,3.7729558570861816,5.416180414581299,6.9767715370178225,0.2827261830529859,0.43447106764844445,0.41658620791415035,0.4673113989398668,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,AOI_028,0.7713268836975098,1.3039087699890137,1.7538502738952637,2.0476891929626464,0.2702262672994818,0.3845406348856402,0.3642792011274717,0.3759409969029405,"{""type"":""MultiPoint"",""coordinates"":[]}"
